Node,X coord,Y coord
287661,24.94286,57.02152
287662,24.94296,57.02151
287663,24.94309,57.02148
288335,21.96566,56.97329
290172,24.15019,57.05847
290173,24.15011,57.05865
290578,25.31789,57.31221
291948,25.4485,57.50943
291974,24.21042,56.95132
291975,24.21044,56.95135
297899,21.01124,56.55293
297900,21.01127,56.55295
297901,21.01129,56.55297
298748,27.2991,56.47586
299815,25.0008,56.60235
300855,25.87822,56.50163
300856,25.87823,56.50168
300857,25.87826,56.50173
300858,25.87831,56.50177
300859,25.87839,56.50181
300860,25.87848,56.50183
300861,25.87858,56.50184
301252,27.73728,56.53018
303041,21.01435,56.54662
303042,21.01432,56.54666
303043,21.01431,56.5467
303044,21.01433,56.54674
303045,21.01438,56.54677
303046,21.01445,56.54678
306373,25.38716,57.54618
306374,25.38703,57.54617
306375,25.38685,57.54617
306376,25.38667,57.54619
306377,25.38652,57.54622
306466,27.0393,57.42581
307032,27.34562,56.5183
307783,27.41459,56.69389
308706,24.31974,57.07577
308707,24.31979,57.07579
308708,24.31982,57.07582
308709,24.31983,57.07586
308710,24.31981,57.07591
308957,25.38627,57.54244
308958,25.38616,57.54249
308959,25.38604,57.54252
308960,25.38591,57.54253
310486,24.6469,57.11833
310487,24.64693,57.11839
310488,24.64695,57.11847
310489,24.64694,57.11856
310490,24.64692,57.11864
310491,24.64688,57.11873
310492,24.64683,57.11882
310493,24.64677,57.1189
310494,24.64653,57.11921
311360,25.02875,57.86245
311361,25.02819,57.8625
311362,25.02793,57.86258
311363,25.02785,57.86272
311364,25.02791,57.86279
311365,25.02807,57.86285
311538,21.97159,56.97157
314291,24.09685,56.9437
314292,24.0968,56.94371
314630,25.44891,57.50921
314631,25.4488,57.50925
314632,25.44869,57.5093
314633,25.44859,57.50936
316932,26.54023,55.87888
317485,25.31819,57.31189
317486,25.31834,57.31199
317487,25.31851,57.31212
324098,24.64633,57.11798
324099,24.64647,57.11802
324100,24.6466,57.11807
324101,24.64671,57.11813
324905,24.24599,56.8126
325388,22.47199,56.68221
325683,25.44851,57.50999
325684,25.44858,57.51003
325685,25.44869,57.51008
325686,25.44881,57.51013
325687,25.44897,57.51018
325688,25.44911,57.51021
325689,25.44927,57.51023
325690,25.44943,57.51024
325691,25.44961,57.51024
325692,25.4498,57.51022
326783,21.01811,56.48827
326784,21.0182,56.48826
326785,21.01833,56.48825
326786,21.01841,56.48826
326787,21.01847,56.48829
326788,21.0185,56.48833
326789,21.01857,56.48868
327986,22.56908,57.19522
328535,24.85505,57.16214
331080,25.42309,57.53808
331081,25.42307,57.5381
331082,25.42303,57.53812
331083,25.42297,57.53813
334796,25.22814,56.50294
335102,22.58488,57.23337
335103,22.58491,57.23347
335104,22.58494,57.23354
335105,22.58499,57.23361
335106,22.58506,57.23368
337824,25.38628,57.54224
338921,24.35991,56.86903
338922,24.36155,56.8692
338923,24.36219,56.8693
338924,24.3628,56.86945
341124,26.20236,56.84
341125,26.2024,56.84007
341126,26.20242,56.84013
341127,26.20243,56.84019
341128,26.20243,56.84025
341129,26.20242,56.8403
347077,24.03756,56.91341
350555,25.25244,56.60136
350556,25.25242,56.60143
352695,21.5946,57.39621
352696,21.59456,57.39627
352697,21.5945,57.39631
352698,21.59442,57.39635
352699,21.59432,57.39638
352700,21.59419,57.39641
353282,23.72938,56.64108
353436,25.78335,56.61572
353437,25.78337,56.61572
355120,26.51306,55.86724
355408,22.47217,56.68163
355409,22.47208,56.68169
355410,22.472,56.68177
355411,22.47194,56.68186
355412,22.47191,56.68195
355413,22.47191,56.68204
355699,26.51995,55.8754
356278,24.147,56.98519
356279,24.14698,56.98526
356280,24.14699,56.98531
356281,24.14703,56.98535
359143,22.47027,56.65003
359144,22.47021,56.65006
359145,22.47014,56.65008
359146,22.47008,56.65009
362970,26.20152,56.84061
363928,24.80977,56.73227
363929,24.80964,56.73233
363930,24.80962,56.7324
365260,25.87653,56.49411
365261,25.87651,56.49415
365262,25.87646,56.49419
365263,25.87639,56.49422
365264,25.87631,56.49424
365759,24.15276,57.01428
377319,26.20097,56.84003
382991,21.0113,56.553
382992,21.01128,56.55303
382993,21.01125,56.55305
382994,21.01121,56.55306
383598,25.45021,57.50936
383599,25.45034,57.50948
383600,25.4504,57.50958
383601,25.45043,57.50968
389426,25.04904,57.86218
389557,27.67174,57.1851
389558,27.67174,57.18517
389559,27.67181,57.18527
389560,27.67199,57.18536
389988,24.94323,57.02108
390656,25.22803,56.50348
390657,25.22796,56.50352
390658,25.22789,56.50355
390659,25.22783,56.50357
390660,25.22774,56.50359
390661,25.22765,56.5036
392722,25.66116,57.87649
395280,25.27509,57.31329
398393,26.505,55.88146
398394,26.50507,55.88161
400394,24.15106,57.00654
400395,24.15112,57.00658
401223,24.32355,57.07711
402168,24.27369,56.81425
403147,24.24709,56.81236
403148,24.24703,56.81242
403149,24.24696,56.81247
403150,24.24689,56.81251
403703,24.12319,56.94144
403704,24.12313,56.94154
403705,24.12313,56.94161
403706,24.12316,56.94167
403707,24.12322,56.94174
406255,24.35994,56.87064
406256,24.36022,56.87079
406257,24.36045,56.87088
409380,25.22821,56.50317
410270,23.16566,56.97011
410271,23.16559,56.97011
410272,23.16552,56.97012
410273,23.16547,56.97014
410322,26.20434,56.85799
410323,26.20432,56.85802
410324,26.20431,56.85806
410325,26.20432,56.85809
410326,26.20435,56.85812
411813,24.15113,57.00638
411814,24.15106,57.00645
413133,25.87892,56.50173
413134,25.87887,56.50177
413135,25.87879,56.50181
413136,25.87872,56.50183
413137,25.87865,56.50184
414128,21.95716,56.96723
414129,21.95711,56.96722
414130,21.95703,56.96721
414131,21.95694,56.96721
414132,21.95686,56.96723
415116,27.67981,57.18623
420752,22.47385,56.68196
420753,22.47384,56.68206
420754,22.47379,56.68217
420755,22.47372,56.68225
420756,22.47359,56.68235
420757,22.47344,56.68243
421945,24.15023,57.02383
422118,25.85765,56.51492
422119,25.85761,56.51493
424885,24.27216,56.81359
428204,25.71719,56.62004
429656,24.21051,56.95138
432136,22.6072,57.25915
432137,22.60734,57.25918
432138,22.60751,57.25921
434727,25.40504,57.54257
435272,24.06109,57.06388
435273,24.0613,57.06394
435274,24.06165,57.06413
435275,24.06177,57.06422
435276,24.06181,57.06428
435277,24.0618,57.06433
435278,24.06166,57.06445
435811,27.30037,56.54044
435812,27.30029,56.54042
435813,27.30022,56.54041
435814,27.30014,56.54041
435815,27.30007,56.54042
435816,27.30001,56.54044
438302,24.24676,56.81172
438303,24.24686,56.81176
438304,24.24696,56.81181
438305,24.24703,56.81186
438306,24.24709,56.81191
438307,24.24713,56.81197
440507,24.88816,57.15393
440508,24.8882,57.154
442028,24.68602,57.11011
442029,24.68676,57.1103
442030,24.68683,57.11037
442031,24.68644,57.11081
443740,27.73761,56.53061
444194,24.08519,56.93583
444290,24.64648,57.11927
444348,25.41986,57.54287
447954,24.24133,56.98575
448500,24.03935,56.83412
453511,26.52266,55.88798
454550,23.11552,56.94882
454551,23.11561,56.94893
454552,23.11565,56.94902
454553,23.11567,56.94911
454554,23.11567,56.94921
458483,25.3869,57.5473
458484,25.38714,57.5473
458632,25.27456,57.31311
458633,25.27452,57.31315
458634,25.2745,57.31319
458635,25.27449,57.31323
458636,25.2745,57.31326
459599,25.22818,56.50302
459600,25.2282,56.5031
459930,22.46977,56.65007
459931,22.46984,56.65009
459932,22.46992,56.6501
459933,22.47,56.6501
460030,24.30765,57.01025
460220,24.81017,56.73238
460221,24.81015,56.73244
460222,24.81006,56.7325
460223,24.80996,56.73253
460386,23.75443,56.62977
460387,23.75436,56.62989
460388,23.75427,56.63
460389,23.75417,56.63008
460390,23.75405,56.63016
460391,23.75383,56.63027
460975,25.38801,57.54657
464298,24.24549,56.81236
464299,24.24557,56.81243
464300,24.24565,56.81248
464301,24.24575,56.81253
464302,24.24586,56.81257
464996,23.93168,56.95327
464997,23.93179,56.95337
464998,23.93186,56.95347
464999,23.93191,56.95358
465000,23.93193,56.95368
465001,23.93193,56.95378
465002,23.9319,56.9539
465003,23.93185,56.954
465004,23.93179,56.95409
465005,23.9317,56.95418
465006,23.9316,56.95426
465007,23.93146,56.95435
465008,23.9313,56.95443
465009,23.93114,56.95449
465010,23.93093,56.95455
465011,23.93072,56.9546
465012,23.93054,56.95462
465013,23.93032,56.95462
465014,23.93009,56.95461
465015,23.92987,56.95459
465016,23.92964,56.95454
465017,23.92943,56.95448
465018,23.92922,56.9544
465019,23.92905,56.95432
465020,23.92884,56.95418
465021,23.9286,56.95397
465249,24.68514,57.11111
468817,24.14707,56.98537
468818,24.14715,56.98539
468819,24.14724,56.9854
468820,24.14736,56.9854
471253,27.2991,56.47776
471994,24.33202,56.859
472604,25.78305,56.6155
472605,25.78307,56.61556
472606,25.78311,56.61562
472607,25.78318,56.61567
472608,25.78327,56.6157
472618,24.14824,56.98417
472619,24.14803,56.9847
474247,24.09652,56.91615
474248,24.09657,56.9162
474249,24.09662,56.91623
474250,24.09669,56.91625
474251,24.09677,56.91626
474252,24.09685,56.91626
474253,24.09695,56.91625
474254,24.09702,56.91622
474811,24.2436,56.98773
474812,24.24363,56.98778
474813,24.24372,56.98805
474814,24.24372,56.98811
475761,27.73667,56.53049
475762,27.73668,56.53052
479276,24.32217,57.0685
479277,24.3221,57.06851
479278,24.32204,57.06853
479279,24.32201,57.06855
479280,24.32199,57.06858
479418,26.50609,55.88914
479419,26.50602,55.88913
479420,26.50594,55.88913
479421,26.50587,55.88914
479422,26.50581,55.88916
482216,22.77275,56.48195
490629,23.72872,56.64063
490630,23.72862,56.64065
490631,23.72853,56.64068
491800,24.94317,57.02144
492509,25.41859,57.52077
492933,24.11292,56.96911
492934,24.11302,56.96911
494106,25.25259,56.60121
501336,24.02066,56.92961
501337,24.02069,56.92965
501338,24.02074,56.92968
501830,24.27201,56.81417
501831,24.27208,56.81424
501832,24.27218,56.81431
501833,24.2723,56.81437
501834,24.27245,56.81442
502386,22.47292,56.68147
503188,27.73676,56.53059
503189,27.73686,56.53066
503190,27.73699,56.5307
503191,27.73711,56.53072
503192,27.73729,56.53071
503193,27.7374,56.53069
503194,27.73749,56.53066
503765,25.71333,56.61895
504873,21.98724,56.95689
506290,21.58326,56.43857
508423,25.22754,56.50258
508424,25.22765,56.5026
508425,25.22775,56.50263
508426,25.22784,56.50267
508427,25.22793,56.50272
508428,25.22801,56.50278
508429,25.22809,56.50287
510069,22.60842,57.25905
510281,24.94261,57.02094
514147,24.26778,57.00201
514148,24.26763,57.00207
514149,24.26757,57.00211
514150,24.26752,57.00223
514151,24.26756,57.00231
514152,24.2683,57.00284
515383,27.34796,56.50222
516612,22.46967,56.65002
516692,24.13931,56.95618
518292,26.71283,55.81492
518836,21.59299,57.39581
518837,21.59303,57.3959
518838,21.59307,57.39597
519934,25.38589,57.52855
523478,22.60873,57.25867
523479,22.60871,57.25875
523480,22.60867,57.25883
523481,22.60862,57.2589
523482,22.60854,57.25897
524584,25.227,56.50341
524585,25.22709,56.50347
524586,25.22716,56.50351
524587,25.22723,56.50354
524588,25.22733,56.50357
524589,25.22743,56.50359
524590,25.22754,56.5036
526070,25.04886,57.86228
526071,25.0487,57.86249
527194,25.87629,56.49394
527195,25.87636,56.49395
527196,25.87644,56.49398
527197,25.8765,56.49402
527198,25.87653,56.49406
527336,27.29897,56.47777
527337,27.29883,56.47777
527635,24.11309,56.96924
530900,26.52154,55.89354
530964,24.12409,56.9415
530965,24.1241,56.94158
530966,24.12406,56.94164
530967,24.12401,56.9417
530968,24.12392,56.94177
531951,25.37185,57.52287
531952,25.37137,57.52286
531953,25.37116,57.52288
531954,25.37097,57.52292
531955,25.37079,57.52298
531956,25.37063,57.52307
531957,25.37052,57.52317
531958,25.37045,57.52328
531959,25.37043,57.52337
531960,25.37044,57.52344
531961,25.37048,57.52352
531962,25.37055,57.5236
531963,25.37065,57.52367
531964,25.37078,57.52373
531965,25.37097,57.52378
531966,25.37122,57.52381
531967,25.37151,57.52382
531968,25.3718,57.5238
531969,25.37207,57.52375
533630,22.49137,56.6684
533631,22.49142,56.66842
533632,22.49146,56.66843
533633,22.49152,56.66844
533634,22.49158,56.66844
533635,22.49165,56.66843
533832,22.6027,57.24235
533833,22.60296,57.24233
533834,22.60306,57.24235
